date,shift,machineName,sizeCode,startTime,endTime,scheduleQuantity,remarks,runTime,changeOverStartTime,changeOverEndTime,availableMoulds,runningMoulds,roundsPerMould,curingPotential,ctb,gtInventory,coverage,curingScheduleQuantity,description,machineId,createdAt,createdBy
2026-04-05,C,4801,1225219Z15008SXC11,2026-04-05 23:00:00,2026-04-06 07:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-06,A,4801,1225219Z15008SXC11,2026-04-06 07:00:00,2026-04-06 15:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-06,B,4801,1225219Z15008SXC11,2026-04-06 15:00:00,2026-04-06 23:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-06,C,4801,1225219Z15008SXC11,2026-04-06 23:00:00,2026-04-07 07:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-07,A,4801,1225219Z15008SXC11,2026-04-07 07:00:00,2026-04-07 15:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-07,B,4801,1225219Z15008SXC11,2026-04-07 15:00:00,2026-04-07 23:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-07,C,4801,1225219Z15008SXC11,2026-04-07 23:00:00,2026-04-08 07:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-08,A,4801,1225219Z15008SXC11,2026-04-08 07:00:00,2026-04-08 15:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-08,B,4801,1225219Z15008SXC11,2026-04-08 15:00:00,2026-04-08 23:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-08,C,4801,1225219Z15008SXC11,2026-04-08 23:00:00,2026-04-09 07:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-09,A,4801,1225219Z15008SXC11,2026-04-09 07:00:00,2026-04-09 15:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-09,B,4801,1225219Z15008SXC11,2026-04-09 15:00:00,2026-04-09 23:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-09,C,4801,1225219Z15008SXC11,2026-04-09 23:00:00,2026-04-10 07:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-10,A,4801,1225219Z15008SXC11,2026-04-10 07:00:00,2026-04-10 15:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-10,B,4801,1225219Z15008SXC11,2026-04-10 15:00:00,2026-04-10 23:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-10,C,4801,1225219Z15008SXC11,2026-04-10 23:00:00,2026-04-11 07:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-11,A,4801,1225219Z15008SXC11,2026-04-11 07:00:00,2026-04-11 15:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-11,B,4801,1225219Z15008SXC11,2026-04-11 15:00:00,2026-04-11 23:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-11,C,4801,1225219Z15008SXC11,2026-04-11 23:00:00,2026-04-12 07:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-12,A,4801,1225219Z15008SXC11,2026-04-12 07:00:00,2026-04-12 15:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-12,B,4801,1225219Z15008SXC11,2026-04-12 15:00:00,2026-04-12 23:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-12,C,4801,1225219Z15008SXC11,2026-04-12 23:00:00,2026-04-13 07:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
2026-04-13,A,4801,1225219Z15008SXC11,2026-04-13 07:00:00,2026-04-13 15:00:00,35,Post-Cleaning Resume,480,,,0,2,17,35,0,0,,35,195 R15 ULTIMA XPC1 AL,e7f5dbb5-0b20-11f1-ae56-6ecb38cdd2a0,2026-04-14 11:09:09,Algo8 AI Schedule
