Item_Type,Minimum_Run_Qty,Maximum_Run_Qty,UOM
MASTER COMPOUND,3.0,,KG
FINAL COMPOUND,3.0,,KG
CALANDARED ROLL,,,MTR
Rubberized Ply,400.0,,Nos
Bead Bundle,1000.0,,Nos
Bead Apex,1000.0,,Nos
Steel Belt,230.0,,MTR
Tread,129.0,,Nos
SideWall,130.0,,MTR
Inner Liner,140.0,,MTR
Cap Strip,1800.0,,MTR
Ply,350.0,,MTR
