product_code,line_class,build_cycle_sec,source
1325218614088SVEC0,PCR,39.52,GTCT TBR PCR 1.xlsx
1325218614088TVECE,PCR,49.92,GTCT TBR PCR 1.xlsx
1325218614088HURL0,PCR,49.92,GTCT TBR PCR 1.xlsx
1325218614088TTMX0,PCR,49.92,GTCT TBR PCR 1.xlsx
1325218614088TVECO,PCR,39.52,GTCT TBR PCR 1.xlsx
1D25219Z14008SXC10,PCR,71.76,GTCT TBR PCR 1.xlsx
1D25219Z14008SXC11,PCR,71.76,GTCT TBR PCR 1.xlsx
1325219414086HUSP0,PCR,49.92,GTCT TBR PCR 1.xlsx
1325116815087SXPC0,PCR,58.025,GTCT TBR PCR 1.xlsx
1325216815087SXPC0,PCR,58.025,GTCT TBR PCR 1.xlsx
1325218415084TTMX0,PCR,58.025,GTCT TBR PCR 1.xlsx
1325218415084TVEC0,PCR,58.025,GTCT TBR PCR 1.xlsx
1325218415084TUTR0,PCR,58.025,GTCT TBR PCR 1.xlsx
1325218515088SVEC0,PCR,58.025,GTCT TBR PCR 1.xlsx
1325218515088TVEC0,PCR,58.025,GTCT TBR PCR 1.xlsx
1325218515088TVEC1,PCR,58.025,GTCT TBR PCR 1.xlsx
1325218515088HTMX0,PCR,58.025,GTCT TBR PCR 1.xlsx
1325218515088TVEUE,PCR,58.025,GTCT TBR PCR 1.xlsx
1325218515088HURL2,PCR,58.025,GTCT TBR PCR 1.xlsx
1325218515088HUTR0,PCR,58.025,GTCT TBR PCR 1.xlsx
1225219Z15008SXC10,PCR,78.07,GTCT TBR PCR 1.xlsx
1225219Z15008SXC11,PCR,78.07,GTCT TBR PCR 1.xlsx
1225119Z15008SXC10,PCR,78.07,GTCT TBR PCR 1.xlsx
1325219315085VUX10,PCR,58.025,GTCT TBR PCR 1.xlsx
1325219315089VUX10,PCR,58.025,GTCT TBR PCR 1.xlsx
1325219415088VUX10,PCR,58.025,GTCT TBR PCR 1.xlsx
1325219415092VUX10,PCR,58.025,GTCT TBR PCR 1.xlsx
1325219515091VURL0,PCR,58.025,GTCT TBR PCR 1.xlsx
1325219515091VUXA0,PCR,58.025,GTCT TBR PCR 1.xlsx
1325219515091HURL2,PCR,60.135,GTCT TBR PCR 1.xlsx
1325220415091VUX10,PCR,58.025,GTCT TBR PCR 1.xlsx
1325220415095VUX10,PCR,58.025,GTCT TBR PCR 1.xlsx
1325220515094VETR0,PCR,63.3,GTCT TBR PCR 1.xlsx
1325220515094VUTP0,PCR,63.3,GTCT TBR PCR 1.xlsx
1325220615106SRAT0,PCR,66.465,GTCT TBR PCR 1.xlsx
1325221Z15113RRAT0,PCR,66.465,GTCT TBR PCR 1.xlsx
1325221615109SRAT0,PCR,66.465,GTCT TBR PCR 1.xlsx
1225221615109SBAT0,PCR,66.465,GTCT TBR PCR 1.xlsx
1325121715100SBRU0,PCR,66.465,GTCT TBR PCR 1.xlsx
1325221715100SBRU0,PCR,66.465,GTCT TBR PCR 1.xlsx
1325221715100SRAT0,PCR,63.3,GTCT TBR PCR 1.xlsx
1325221715100SRHT0,PCR,63.3,GTCT TBR PCR 1.xlsx
1325221715100SRHT1,PCR,63.3,GTCT TBR PCR 1.xlsx
1325221715102SBRU0,PCR,63.3,GTCT TBR PCR 1.xlsx
1325221715100SBHT0,PCR,63.3,GTCT TBR PCR 1.xlsx
1325221715100SRAT1,PCR,63.3,GTCT TBR PCR 1.xlsx
1325221715100SRPG0,PCR,63.3,GTCT TBR PCR 1.xlsx
1325223715104RBXT0,PCR,63.3,GTCT TBR PCR 1.xlsx
1225223715104RBET0,PCR,63.3,GTCT TBR PCR 1.xlsx
1325223715104RRXT0,PCR,63.3,GTCT TBR PCR 1.xlsx
1325223715105TRHT0,PCR,63.3,GTCT TBR PCR 1.xlsx
1325223715105TBHT0,PCR,63.3,GTCT TBR PCR 1.xlsx
1225225615113SRAT0,PCR,66.465,GTCT TBR PCR 1.xlsx
1225210015109QBAT0,PCR,58.025,GTCT TBR PCR 1.xlsx
1325210015109QRAT0,PCR,66.465,GTCT TBR PCR 1.xlsx
1325231015109RRXT0,PCR,63.3,GTCT TBR PCR 1.xlsx
1325231015109RBXT0,PCR,63.3,GTCT TBR PCR 1.xlsx
1325231015109QRMT0,PCR,63.3,GTCT TBR PCR 1.xlsx
1325232015113RBXT0,PCR,63.3,GTCT TBR PCR 1.xlsx
1325232015113RRXT0,PCR,63.3,GTCT TBR PCR 1.xlsx
1425118916008QBRU0,PCR,73.14,GTCT TBR PCR 1.xlsx
1425118916008QBRN0,PCR,73.14,GTCT TBR PCR 1.xlsx
1325219316087HVEC1,PCR,66.78,GTCT TBR PCR 1.xlsx
1325219316087VURLE,PCR,66.78,GTCT TBR PCR 1.xlsx
1325219316087VVEC0,PCR,66.78,GTCT TBR PCR 1.xlsx
1325219316087VURL0,PCR,65.72,GTCT TBR PCR 1.xlsx
